input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,15,9,21
none,none,random,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,16,10,21
none,none,random,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,46,19,76
none,none,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,48,19,81
none,none,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,15,9,21
none,none,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,16,8,24
none,none,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,51,19,149
none,none,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,66,18,197
none,none,random,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,171,1,408
none,none,random,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,178,1,343
none,none,random,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,191,1,377
none,none,random,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,135,3,336
none,none,random,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,210,1,407
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,170,1,313
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,184,1,337
none,none,random,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,130,4,283
none,none,random,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,198,1,385
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,174,1,343
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,184,1,351
none,none,random,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,125,3,271
none,none,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,76,1,167
none,none,random,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,82,1,178
none,none,random,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,60,2,143
none,none,random,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,84,1,183
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,71,1,150
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,73,1,166
none,none,random,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,56,3,137
none,none,random,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,85,1,185
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,65,1,139
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,66,1,135
none,none,random,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,46,3,99
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,CMAES,7,3,18
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,CMAES,60,1,220
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,CMAES,75,1,277
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,CMAES,90,1,277
